Address_Name,Postal_Code,City_Name
5th Avenue NYC,10001,New York
Berlin HQ Bayer,10115,Berlin
Champs-Elysees FR,75008,Paris
Optimum Nutrition HQ London,SW1A0AA,London
Nordic Naturals HQ Oslo,0250,Oslo
Merck HQ Darmstadt,64293,Darmstadt
GNC HQ Pittsburgh,15222,Pittsburgh
Herbalife HQ Los Angeles,90045,Los Angeles
Vital Proteins HQ Chicago,60601,Chicago
Nature's Best HQ Seattle,98101,Seattle
NOW Foods HQ Bloomingdale,60108,Bloomingdale
Doctor's Best HQ San Diego,92121,San Diego
100 Innovation Dr,10022,New York
200 Athletic Ave,M5H2N2,Toronto
300 Herbal Blvd,10117,Berlin
400 Wellness Way,75001-1,Paris
500 Science St,00118,Rome
600 Remedy Rd,01010,Vienna
700 Health Pkwy,00-001,Warsaw
800 Cure Ct,34000,Istanbul
900 Vitality Ln,10552,Athens
1010 Longevity Pl,08001,Zurich
1111 Gym Rd,11000,Prague
1212 Pure St,01100,Vilnius
1313 Prime Ave,LV-1050,Riga
1414 Balance Blvd,10111,Tallinn
1515 Power Pkwy,1000-1,Brussels
1616 Harmony Rd,1000-2,Sofia
1717 Edge St,10000,Zagreb
1818 Essence Ave,1012AB,Amsterdam
1919 NextGen Dr,1000-001,Lisbon
2020 Authentic Pl,010011,Bucharest
