Brand_Name,Address_Name
NutriGold,Berlin HQ Bayer
Gold Standard,Optimum Nutrition HQ London
Nordic,Nordic Naturals HQ Oslo
Centrum,Merck HQ Darmstadt
GNC Probiotic,GNC HQ Pittsburgh
Herbal Boost,Herbalife HQ Los Angeles
Vital Collagen,Vital Proteins HQ Chicago
Nature's Best,Nature's Best HQ Seattle
NOW,NOW Foods HQ Bloomingdale
Doctor's Choice,Doctor's Best HQ San Diego
SolarMax,100 Innovation Dr
PeakPro,200 Athletic Ave
GreenPure,300 Herbal Blvd
FusionPlus,400 Wellness Way
CoreBio,500 Science St
PureSource,600 Remedy Rd
BioActive,700 Health Pkwy
OptiMed,800 Cure Ct
MegaPower,900 Vitality Ln
UltraLife,1010 Longevity Pl
FuelMax,1111 Gym Rd
SpringWell,1212 Pure St
AlphaTech,1313 Prime Ave
ZenithZ,1414 Balance Blvd
StrengthX,1515 Power Pkwy
MindBody,1616 Harmony Rd
EdgeHealth,1717 Edge St
EssenceBio,1818 Essence Ave
NextGen,1919 NextGen Dr
TrueLife,2020 Authentic Pl
